Ranking,Score,Song,Album
1,100,The Archer,Lover
2,100,Nothing New,Red
3,100,seven,folklore
4,100,this is me trying,folklore
5,100,Treacherous,Red
6,98,Lover,Lover
7,98,mirrorball,folklore
8,97,gold rush,evermore
9,97,Innocent,Speak Now
10,95,august,folklore
11,95,Sad Beautiful Tragic,Red
12,94,Clean,"1989,"
13,94,All Too Well,Red
14,94,happiness,evermore
15,93,Begin Again,Red
16,93,Fifteen,Fearless
17,93,This Love,"1989,"
18,93,I Bet You Think About Me,Red
19,92,All Too Well (10 Minute Version),Red
20,92,Holy Ground,Red
21,91,Breathe,Fearless
22,91,epiphany,folklore
23,90,Dear John,Speak Now
24,90,betty,folklore
25,90,cardigan,folklore
26,90,I Almost Do,Red
27,89,invisible string,folklore
28,89,State Of Grace,Red
29,88,Blank Space,"1989,"
30,87,Last Kiss,Speak Now
31,87,Back to December,Speak Now
32,86,You're Not Sorry,Fearless
33,85,Gorgeous,reputation
34,85,Enchanted,Speak Now
35,85,The Lucky One,Red
36,84,Everything Has Changed,Red
37,84,ivy,evermore
38,84,Better Than Revenge,Speak Now
39,84,Mine,Speak Now
40,84,Out of the Woods,"1989,"
41,84,peace,folklore
42,83,Forever & Always,Fearless
43,83,Soon You'll Get Better,Lover
44,83,Wildest Dreams,"1989,"
45,82,Forever Winter,Red
46,82,White Horse,Fearless
47,82,I Think He Knows,Lover
48,82,marjorie,evermore
49,82,the last great american dynasty,folklore
50,82,Our Song,Taylor Swift
51,82,The Last Time,Red
52,81,Mary's Song (Oh My My My) ,Taylor Swift
53,81,It's Nice To Have A Friend,Lover
54,81,Should've Said No,Taylor Swift
55,81,the 1,folklore
56,81,New Year's Day,reputation
57,80,Love Story,Fearless
58,80,You Belong With Me,Fearless
59,80,Red,Red
60,79,Call It What You Want,reputation
61,79,Death By A Thousand Cuts,Lover
62,79,dorothea,evermore
63,79,tis the damn season,evermore
64,79,Mean,Speak Now
65,79,So It Goes...,reputation
66,78,Sparks Fly,Speak Now
67,78,tolerate it,evermore
68,78,champagne problems,evermore
69,78,I Knew You Were Trouble,Red
70,78,willow,evermore
71,77,Daylight,Lover
72,77,I Wish You Would,"1989,"
73,76,Cruel Summer,Lover
74,76,Fearless,Fearless
75,76,How You Get the Girl,"1989,"
76,76,my tears ricochet,folklore
77,76,Tell Me Why,Fearless
78,76,Haunted,Speak Now
79,76,This Is Why We Can't Have Nice Things,reputation
80,75,hoax,folklore
81,75,Style,"1989,"
82,75,I Know Places,"1989,"
83,75,The Story of Us,Speak Now
84,75,Tied Together With a Smile,Taylor Swift
85,74,Hey Stephen,Fearless
86,74,Paper Rings,Lover
87,74,The Way I Loved You,Fearless
88,74,Delicate,reputation
89,74,long story short,evermore
90,74,Come In With the Rain,Fearless
91,74,Untouchable,Fearless
92,73,Dress,reputation
93,73,Miss Americana & The Heartbreak Prince,Lover
94,73,Speak Now,Speak Now
95,73,Don't Blame Me,reputation
96,73,London Boy,Lover
97,73,Look What You Made Me Do,reputation
98,73,The Very First Night,Red
99,73,"22,",Red
100,72,Getaway Car,reputation
101,72,cowboy like me,evermore
102,72,King of My Heart,reputation
103,72,"no body, no crime",evermore
104,72,The Outside,Taylor Swift
105,72,We Are Never Ever Getting Back Together,Red
106,72,Long Live,Speak Now
107,71,Girl at Home,Red
108,71,Welcome To New York,"1989,"
109,71,Starlight,Red
110,70,The Other Side Of The Door,Fearless
111,70,False God,Lover
112,70,Shake It Off,"1989,"
113,70,Stay Stay Stay,Red
114,69,All You Had To Do Was Stay,"1989,"
115,69,Today Was A Fairytale,Fearless
116,69,I Forgot That You Existed,Lover
117,69,Jump Then Fall,Fearless
118,69,Tim McGraw,Taylor Swift
119,68,Cold As You,Taylor Swift
120,68,The Moment I Knew,Red
121,68,Cornelia Street,Lover
122,68,The Man,Lover
123,67,Afterglow,Lover
124,67,A Place In This World,Taylor Swift
125,67,Change,Fearless
126,67,Superstar,Fearless
127,66,I Did Something Bad,reputation
128,66,Babe,Red
129,65,...Ready For It?,reputation
130,65,State Of Grace (Acoustic Version),Red
131,64,illicit affairs,folklore
132,64,coney island,evermore
133,64,Teardrops On My Guitar,Taylor Swift
134,63,Don't You,Fearless
135,62,Come Back... Be Here,Red
136,62,mad woman,folklore
137,60,exile,folklore
138,59,You All Over Me,Fearless
139,58,A Perfectly Good Heart,Taylor Swift
140,57,You Need to Calm Down,Lover
141,56,Invisible,Taylor Swift
142,55,Message In A Bottle,Red
143,55,Better Man,Red
144,55,Picture to Burn,Taylor Swift
145,54,evermore,evermore
146,53,Dancing With Our Hands Tied,reputation
147,52,closure,evermore
148,51,That's When,Fearless
149,50,Bad Blood,"1989,"
150,49,Mr. Perfectly Fine,Fearless
151,48,Run,Red
152,47,Forever & Always (Piano Version),Fearless
153,46,Stay Beautiful,Taylor Swift
154,46,Teardrops On My Guitar (Pop Version),Taylor Swift
155,45,Never Grow Up,Speak Now
156,45,I'm Only Me When I'm With You,Taylor Swift
157,44,End Game,reputation
158,43,Bye Bye Baby,Fearless
159,41,The Best Day,Fearless
160,39,We Were Happy,Fearless
161,35,ME!,Lover
